'Elapsed time','V5','MLII'
1.875,-0.270,0.010
1.878,-0.260,0.010
1.881,-0.275,0.000
1.883,-0.280,-0.005
1.886,-0.285,-0.010
1.889,-0.280,0.005
1.892,-0.265,0.010
1.894,-0.260,0.000
1.897,-0.255,0.000
1.900,-0.280,-0.015
1.903,-0.275,-0.025
1.906,-0.280,-0.015
1.908,-0.265,0.000
1.911,-0.255,0.000
1.914,-0.260,-0.015
1.917,-0.275,-0.010
1.919,-0.280,-0.010
1.922,-0.280,-0.005
1.925,-0.270,0.000
1.928,-0.250,0.010
1.931,-0.255,-0.010
1.933,-0.270,-0.025
1.936,-0.285,-0.020
1.939,-0.285,-0.010
1.942,-0.270,0.010
1.944,-0.250,0.005
1.947,-0.250,0.000
1.950,-0.265,0.000
1.953,-0.270,-0.015
1.956,-0.275,-0.015
1.958,-0.260,0.015
1.961,-0.255,0.025
1.964,-0.245,0.020
1.967,-0.245,0.015
1.969,-0.245,0.035
1.972,-0.240,0.080
1.975,-0.225,0.125
1.978,-0.200,0.155
1.981,-0.180,0.210
1.983,-0.170,0.240
1.986,-0.150,0.300
1.989,-0.140,0.385
1.992,-0.165,0.490
1.994,-0.215,0.625
1.997,-0.250,0.765
2.000,-0.305,0.895
2.003,-0.355,1.035
2.006,-0.405,1.200
2.008,-0.460,1.350
2.011,-0.505,1.515
2.014,-0.505,1.685
2.017,-0.460,1.865
2.019,-0.405,2.015
2.022,-0.295,2.030
2.025,-0.150,1.915
2.028,-0.025,1.625
2.031,0.025,1.150
2.033,-0.035,0.695
2.036,-0.205,0.335
2.039,-0.430,0.110
2.042,-0.600,0.005
2.044,-0.670,-0.045
2.047,-0.675,-0.065
2.050,-0.630,-0.070
2.053,-0.585,-0.045
2.056,-0.500,-0.030
2.058,-0.365,-0.015
2.061,-0.275,-0.015
2.064,-0.260,-0.030
2.067,-0.250,-0.065
2.069,-0.250,-0.080
2.072,-0.240,-0.085
2.075,-0.230,-0.090
2.078,-0.205,-0.090
2.081,-0.210,-0.090
2.083,-0.210,-0.110
2.086,-0.230,-0.120
2.089,-0.215,-0.100
2.092,-0.195,-0.110
2.094,-0.180,-0.100
2.097,-0.180,-0.115
2.100,-0.175,-0.115
2.103,-0.185,-0.120
2.106,-0.185,-0.110
2.108,-0.165,-0.095
2.111,-0.155,-0.105
2.114,-0.155,-0.115
2.117,-0.165,-0.135
2.119,-0.170,-0.135
2.122,-0.170,-0.125
2.125,-0.155,-0.110
2.128,-0.155,-0.115
2.131,-0.130,-0.120
2.133,-0.155,-0.125
2.136,-0.165,-0.135
2.139,-0.170,-0.140
2.142,-0.150,-0.120
2.144,-0.130,-0.125
2.147,-0.140,-0.140
2.150,-0.150,-0.150
2.153,-0.165,-0.160
2.156,-0.165,-0.145
2.158,-0.155,-0.130
2.161,-0.140,-0.135
2.164,-0.140,-0.140
2.167,-0.145,-0.170
2.169,-0.150,-0.165
2.172,-0.155,-0.160
2.175,-0.140,-0.150
2.178,-0.120,-0.140
2.181,-0.130,-0.150
2.183,-0.135,-0.165
2.186,-0.135,-0.165
2.189,-0.155,-0.160
2.192,-0.140,-0.150
2.194,-0.110,-0.150
2.197,-0.130,-0.155
2.200,-0.135,-0.165
2.203,-0.125,-0.160
2.206,-0.125,-0.150
2.208,-0.115,-0.140
2.211,-0.100,-0.140
2.214,-0.105,-0.150
2.217,-0.105,-0.165
2.219,-0.120,-0.170
2.222,-0.115,-0.155
2.225,-0.115,-0.130
2.228,-0.095,-0.120
2.231,-0.080,-0.135
2.233,-0.110,-0.145
2.236,-0.105,-0.155
2.239,-0.110,-0.140
2.242,-0.090,-0.120
2.244,-0.070,-0.130
2.247,-0.065,-0.135
2.250,-0.075,-0.140
2.253,-0.080,-0.135
2.256,-0.085,-0.130
2.258,-0.055,-0.105
2.261,-0.045,-0.105
2.264,-0.040,-0.105
2.267,-0.040,-0.110
2.269,-0.040,-0.110
2.272,-0.050,-0.105
2.275,-0.020,-0.070
2.278,-0.005,-0.060
2.281,0.000,-0.060
2.283,-0.005,-0.065
2.286,-0.015,-0.050
2.289,-0.010,-0.030
2.292,0.000,0.000
2.294,0.025,0.010
2.297,0.025,0.015
2.300,0.020,0.010
2.303,0.010,0.020
2.306,0.010,0.050
2.308,0.030,0.065
2.311,0.050,0.085
2.314,0.040,0.100
2.317,0.030,0.100
2.319,0.025,0.115
2.322,0.040,0.135
2.325,0.060,0.165
2.328,0.080,0.170
2.331,0.070,0.185
2.333,0.055,0.180
2.336,0.035,0.175
2.339,0.050,0.200
2.342,0.045,0.200
2.344,0.045,0.220
2.347,0.035,0.210
2.350,0.020,0.195
2.353,-0.005,0.180
2.356,-0.015,0.180
2.358,-0.005,0.185
2.361,-0.005,0.165
2.364,-0.020,0.150
2.367,-0.035,0.135
2.369,-0.065,0.105
2.372,-0.085,0.110
2.375,-0.080,0.115
2.378,-0.070,0.095
2.381,-0.095,0.085
2.383,-0.110,0.060
2.386,-0.140,0.050
2.389,-0.135,0.040
2.392,-0.130,0.055
2.394,-0.125,0.055
2.397,-0.140,0.045
2.400,-0.150,0.030
2.403,-0.150,0.015
2.406,-0.155,0.030
2.408,-0.145,0.035
2.411,-0.150,0.030
2.414,-0.145,0.025
2.417,-0.175,0.005
2.419,-0.170,0.010
2.422,-0.175,0.015
2.425,-0.155,0.025
2.428,-0.150,0.015
2.431,-0.160,0.005
2.433,-0.165,-0.005
2.436,-0.175,-0.005
2.439,-0.185,0.000
2.442,-0.180,0.015
2.444,-0.170,0.015
2.447,-0.160,0.015
2.450,-0.185,-0.010
2.453,-0.190,-0.015
2.456,-0.200,-0.010
2.458,-0.200,-0.015
2.461,-0.175,0.000
2.464,-0.185,-0.010
2.467,-0.195,-0.020
2.469,-0.200,-0.015
2.472,-0.200,-0.020
2.475,-0.175,0.005
2.478,-0.170,-0.005
2.481,-0.195,-0.015
2.483,-0.185,-0.040
2.486,-0.190,-0.030
2.489,-0.195,-0.025
2.492,-0.195,-0.010
2.494,-0.170,-0.010
2.497,-0.175,-0.025
2.500,-0.180,-0.035
2.503,-0.190,-0.030
2.506,-0.195,-0.035
2.508,-0.195,-0.020
2.511,-0.190,-0.020
2.514,-0.185,-0.025
2.517,-0.195,-0.040
2.519,-0.215,-0.055
2.522,-0.215,-0.035
2.525,-0.205,-0.015
2.528,-0.190,-0.030
2.531,-0.205,-0.035
2.533,-0.215,-0.055
2.536,-0.220,-0.040
2.539,-0.215,-0.030
2.542,-0.205,-0.020
2.544,-0.185,-0.010
2.547,-0.190,-0.015
2.550,-0.195,-0.030
2.553,-0.200,-0.035
2.556,-0.215,-0.030
2.558,-0.205,-0.020
2.561,-0.190,-0.005
2.564,-0.185,-0.020
2.567,-0.195,-0.040
2.569,-0.200,-0.030
2.572,-0.210,-0.025
2.575,-0.190,0.000
2.578,-0.170,-0.010
2.581,-0.180,-0.015
2.583,-0.200,-0.025
2.586,-0.200,-0.025
2.589,-0.210,-0.010
2.592,-0.215,-0.005
2.594,-0.185,0.000
2.597,-0.195,-0.005
2.600,-0.200,-0.025
2.603,-0.225,-0.020
2.606,-0.225,-0.010
2.608,-0.215,-0.010
2.611,-0.205,-0.005
2.614,-0.210,0.000
2.617,-0.230,-0.015
2.619,-0.235,-0.025
2.622,-0.230,-0.015
2.625,-0.210,0.000
2.628,-0.205,-0.010
2.631,-0.210,-0.015
2.633,-0.230,-0.020
2.636,-0.240,-0.025
2.639,-0.235,-0.015
2.642,-0.220,0.000
2.644,-0.205,0.000
2.647,-0.215,-0.020
2.650,-0.220,-0.030
2.653,-0.230,-0.035
2.656,-0.245,-0.020
2.658,-0.225,-0.010
2.661,-0.225,-0.005
2.664,-0.230,-0.010
2.667,-0.235,-0.040
2.669,-0.245,-0.040
2.672,-0.255,-0.040
2.675,-0.255,-0.025
2.678,-0.245,-0.015
2.681,-0.250,-0.025
2.683,-0.255,-0.040
2.686,-0.270,-0.035
2.689,-0.265,-0.025
2.692,-0.255,-0.015
2.694,-0.235,-0.025
2.697,-0.245,-0.030
2.700,-0.250,-0.050
2.703,-0.265,-0.045
2.706,-0.260,-0.035
2.708,-0.250,-0.025
2.711,-0.250,-0.030
2.714,-0.260,-0.020
2.717,-0.270,-0.055
2.719,-0.270,-0.055
2.722,-0.275,-0.040
2.725,-0.255,-0.030
2.728,-0.245,-0.035
2.731,-0.255,-0.050
2.733,-0.265,-0.040
2.736,-0.290,-0.050
2.739,-0.280,-0.035
2.742,-0.270,-0.015
2.744,-0.260,-0.025
2.747,-0.270,-0.035
2.750,-0.280,-0.050
2.753,-0.285,-0.045
2.756,-0.295,-0.040
2.758,-0.270,-0.015
2.761,-0.255,-0.020
2.764,-0.270,-0.025
2.767,-0.275,-0.040
2.769,-0.290,-0.055
2.772,-0.280,-0.040
2.775,-0.245,-0.040
2.778,-0.270,-0.040
2.781,-0.285,-0.045
2.783,-0.280,-0.050
2.786,-0.290,-0.040
2.789,-0.265,-0.025
2.792,-0.255,-0.030
2.794,-0.260,-0.025
2.797,-0.275,-0.040
2.800,-0.290,-0.040
2.803,-0.275,-0.040
2.806,-0.280,-0.010
2.808,-0.275,-0.015
2.811,-0.265,-0.030
2.814,-0.275,-0.045
2.817,-0.290,-0.040
2.819,-0.290,-0.030
2.822,-0.290,-0.020
2.825,-0.270,-0.025
2.828,-0.265,-0.030
2.831,-0.290,-0.035
2.833,-0.295,-0.045
2.836,-0.290,-0.025
2.839,-0.280,-0.005
2.842,-0.260,-0.010
2.844,-0.265,-0.025
2.847,-0.275,-0.035
2.850,-0.300,-0.030
2.853,-0.290,-0.030
2.856,-0.270,-0.020
2.858,-0.270,-0.015
